title,number,photo,Салоны,Бренд,Коллекция,color code,🔒 Row ID,Narrative,example 1,example 2,example 3,Global counter
FOREVER ,87,https://i.ibb.co/wBBS3JF/LUXIO-87-FOREVER-55.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,cfa8a1,aG2vcuvdSL-mG9LM7bmM-A,,,,,1
DESIRE ,88,https://i.ibb.co/LxjBZds/LUXIO-88-DESIRE-56.png,Nail O`Clock,LUXIO,COLOURS,940001,G4HKbt4tS-GkLrYbUtNfHA,,,,,
POLAR ,89,https://i.ibb.co/DVzVHSY/LUXIO-89-POLAR-57.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,c3c2c8,GFl7SH58SMCFR7GVBduY1A,,,,,
CHEERFUL ,90,https://i.ibb.co/M1WGHn9/LUXIO-90-CHEERFUL-58.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,dbce99,6WQU.77aQO6TgdiNs.2x0g,,,,,
MYTH ,91,https://i.ibb.co/3vBQLtR/LUXIO-91-MYTH-59.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,004260,ZcOqBSTJRUCHDkuB6l7lsA,,,,,
TEMPTING ,92,https://i.ibb.co/pQyK39w/LUXIO-92-TEMPTING-60.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,003a78,0QMgwYj1TKK.Hx8fbDb76A,,,,,1
SPIRIT,93,https://i.ibb.co/Qfw0MVT/LUXIO-93-SPIRIT-61.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,001244,ZW1r45e7TkGCNxWc1oHrXw,,,,,
INTRIGUE ,94,https://i.ibb.co/rFL9FFd/LUXIO-94-INTRIGUE-62.png,Nail O`Clock,LUXIO,COLOURS,170535,OwsXJl0BSfilCUR6cyF6Mg,,,,,
DELICATE ,95,https://i.ibb.co/grxZNmD/LUXIO-95-DELICATE-63.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,d7c3cb,i4r4QIWPTlGChs7IhZo5xg,,,,,
DEVINE ,96,https://i.ibb.co/cwN4zwW/LUXIO-96-DEVINE-64.png,Nail O`Clock,LUXIO,COLOURS,d93c7c,zV5lIxgrSeuztRF-f45Bww,,,,,
DISTRACTION ,97,https://i.ibb.co/DCx3mx9/LUXIO-97-DISTRACTION-65.png,Nail O`Clock,LUXIO,COLOURS,ca392c,a-VOlbaz8RtyK3eA5q14cLA,,,,,
WHISPER ,98,https://i.ibb.co/BL0Btvw/LUXIO-98-WHISPER-66.png,Nail O`Clock,LUXIO,COLOURS,ba9d8f,I.bDIofbRuebsvLmBhQv0g,,,,,
COCOA ,99,https://i.ibb.co/SxMJvtB/LUXIO-99-COCOA-67.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,290507,sT1TBNNHT8C3PooxhASKuQ,,,,,
RETRO ,100,https://i.ibb.co/X8yTHFq/LUXIO-100-RETRO-68.png,Nail O`Clock,LUXIO,COLOURS,560204,oZRBWNwuS8SjqAb2kUsOxg,,,,,
MYSTERY ,101,https://i.ibb.co/wYjF3JZ/LUXIO-101-MYSTERY-69.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,380611,v8Zbsj9PQdC.1pZkLkGWwA,,,,,
INFINITE ,102,https://i.ibb.co/1dTW3N7/LUXIO-102-INFINITE-70.png,Nail O`Clock,LUXIO,COLOURS,6e1134,jCO6dcrUTv-O7v1r2xhTWQ,,,,,
VIBRANT ,103,https://i.ibb.co/h7GBNsX/LUXIO-103-VIBRANT-71.png,Nail O`Clock,LUXIO,COLOURS,a72248,siUPO24cRsCu4xqw263HLQ,,,,,
MISCHIEVOUS ,104,https://i.ibb.co/Kr6TWG8/LUXIO-104-MISCHIEVOUS-72.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,a4111b,oJjIE1HpQnCfPmJgJp2mOg,,,,,
FORMIDABLE ,105,https://i.ibb.co/MsTVsvg/LUXIO-105-FORMIDABLE-73.png,Nail O`Clock,LUXIO,COLOURS,ad241c,lJ.cprK.TFaiFlRS0HxSGg,,,,,
ABYSS ,106,https://i.ibb.co/w0rQV68/LUXIO-106-ABYSS-74.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,060119,RvulQd.xRUGf3dtZ5BkXnQ,,,,,
PEACOCK ,107,https://i.ibb.co/Z6sc4VD/LUXIO-107-PEACOCK-75.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,003374,b9YpaHAdTUeeX-EvHwxN5Q,,,,,
MOODY ,108,https://i.ibb.co/41ZrzK4/LUXIO-108-MOODY-76.png,Nail O`Clock,LUXIO,COLOURS,002156,S2Gp21C5T4CNNfQhf4rrcA,,,,,
